DateStamp=2018-11-28T16:34, Name=SoraMaru, Saketype=Daiginjyo, Taste=Dry, Description=transparent 
DateStamp=2018-12-20T21:38, Name=Cowboy Yamahai, Saketype=junmaidaiginjo, Taste=Dry, Description=transparent 
DateStamp=2018-12-21T09:22, Name=Sora, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-21T09:54, Name=Sora, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-21T11:37, Name=Sora, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:28, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:30, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:33, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:38, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:40, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:52, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:55, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T08:58, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T09:21, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T09:22, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T09:23, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-24T11:23, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-25T15:34, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-26T09:18, Name=Sora, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-26T09:29, Name=Sora, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
DateStamp=2018-12-26T16:03, Name=Kiyo, Saketype=Daiginjo, Taste=Dry, Description=transparent 
DateStamp=2018-12-26T16:11, Name=Kiyo, Saketype=Daiginjo, Taste=Dry, Description=transparent 
DateStamp=2018-12-26T16:40, Name=SoraMaru, Saketype=junmaidaiginjo, Taste=Dry, Description=It taste good! 
